"","dme-miR-1","dme-miR-2a","dme-miR-2b","dme-miR-3","dme-miR-4","dme-miR-5","dme-miR-6","dme-miR-7","dme-miR-8","dme-miR-9a","dme-miR-10-5p","dme-miR-10-3p","dme-miR-11","dme-miR-13a","dme-miR-13b","dme-miR-14","dme-miR-263a","dme-miR-184","dme-miR-274","dme-miR-275","dme-miR-92a","dme-miR-219","dme-miR-276a","dme-miR-277","dme-miR-278","dme-miR-133","dme-miR-279","dme-miR-33","dme-miR-281","dme-miR-282","dme-miR-283","dme-miR-284","dme-miR-281-2*","dme-miR-34","dme-miR-124","dme-miR-79","dme-miR-276b","dme-miR-210","dme-miR-285","dme-miR-100","dme-miR-92b","dme-miR-286","dme-miR-87","dme-miR-263b","dme-bantam","dme-miR-31b","dme-miR-304","dme-miR-305","dme-miR-9c","dme-miR-306","dme-miR-9b","dme-let-7","dme-miR-125","dme-miR-307","dme-miR-308","dme-miR-31a","dme-miR-309","dme-miR-310","dme-miR-311","dme-miR-312","dme-miR-313","dme-miR-314","dme-miR-315","dme-miR-316","dme-miR-317","dme-miR-318","dme-miR-2c","dme-miR-iab-4-5p","dme-miR-iab-4-3p","dme-miR-iab-4as-5p","dme-miR-955","dme-miR-190","dme-miR-193","dme-miR-956","dme-miR-957","dme-miR-958","dme-miR-375","dme-miR-960","dme-miR-962","dme-miR-963","dme-miR-964","dme-miR-932","dme-miR-965","dme-miR-1002","dme-miR-968","dme-miR-969","dme-miR-970","dme-miR-971","dme-miR-974","dme-miR-976","dme-miR-977","dme-miR-980","dme-miR-981","dme-miR-927","dme-miR-986","dme-miR-987","dme-miR-988","dme-miR-989","dme-miR-137","dme-miR-929","dme-miR-993","dme-miR-994","dme-miR-995","dme-miR-996","dme-miR-252","dme-miR-998","dme-miR-999","dme-miR-1000","dme-miR-1003","dme-miR-1004","dme-miR-1006","dme-miR-1007","dme-miR-1010","dme-miR-1011","dme-miR-1014","dme-miR-1017","dme-miR-12","dme-miR-184*","dme-miR-276*","dme-miR-280","dme-miR-281-1*","dme-miR-287","dme-miR-288","dme-miR-289","dme-miR-303","dme-miR-306*","dme-miR-iab-4as-3p","dme-miR-954","dme-miR-959","dme-miR-961","dme-miR-966","dme-miR-967","dme-miR-972","dme-miR-973","dme-miR-975","dme-miR-978","dme-miR-979","dme-miR-982","dme-miR-983","dme-miR-984","dme-miR-985","dme-miR-990","dme-miR-991","dme-miR-992","dme-miR-995*","dme-miR-997","dme-miR-1001","dme-miR-1005","dme-miR-1008","dme-miR-1009","dme-miR-1012","dme-miR-1013","dme-miR-1015","dme-miR-1016","dme-miR-2279*","dme-miR-2279","dme-miR-2280","dme-miR-2280*","dme-miR-2281*","dme-miR-2281","dme-miR-2282","dme-miR-2283","dme-miR-307-as*","dme-miR-307-as","dme-miR-2489","dme-miR-2490","dme-miR-2491","dme-miR-2492","dme-miR-2493*","dme-miR-2493","dme-miR-2494*","dme-miR-2494","dme-miR-2495","dme-miR-2495*","dme-miR-2496*","dme-miR-2496","dme-miR-2497*","dme-miR-2497","dme-miR-2498*","dme-miR-2498","dme-miR-2499*","dme-miR-2499","dme-miR-2500*","dme-miR-2500","dme-miR-2501","dme-miR-2501*","dme-miR-4951","dme-miR-3642","dme-miR-3643","dme-miR-3644","dme-miR-3645","dme-miR-4966","dme-miR-4968","dme-miR-4969","dme-miR-4976"
"1","59223","42215","42215","43981","34686","38613","42215","39091","41140","44843","317815","46246","42215","42215","42215","44843","41085","31623","44843","33562","41140","46246","31696","41140","35215","44870","41085","48571","43828","41140","34686","41140","44870","35215","41062","34686","31696","59223","46246","40659","41140","41085","41437","41085","33170","41140","34686","44843","44843","33562","44843","34686","46246","59223","42215","41140","43981","41140","41140","41140","41140","46246","34686","41140","32097","43981","42215","34686","34686","38846","41085","41140","44870","42027","33170","44843","41085","46246","41085","38846","44843","44843","41140","34686","34686","46246","34686","41085","35730","43680","40201","38500","46246","44843","41062","41140","39091","35730","46246","46246","48387","38846","46246","41085","34686","46246","44843","46246","38846","38846","46246","59223","33170","44843","46246","41140","46246","34686","38327","46246","44870","44843","46246","34686","44843","37734","41140","44870","36497","41085","32097","33562","34686","34686","44870","40201","36497","31696","41140","41140","41140","36497","34686","41140","35730","41140","59223","31696","39091","44843","41085","41140","33117","38327","34686","48387","33562","41140","46246","59223","34096","41140","35730","38846","41140","40996","41140","34686","40201","41085","41140","47764","41437","59223","41140","31513","38846","34686","41140","34686","41062","31513","38846","34686","46246","41085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","33044","42027","42027","318064","41140","44505","42027","41431","38846","41085","32207","41085","42027","42027","42027","41085","31696","34725","41085","3346176","44843","44843","41437","44843","38890","33814","35215","36232","40386","44843","41140","59223","31011","59223","41656","41140","59223","31339","41140","35927","44843","35215","35730","44870","41656","42027","41140","59223","41085","3346176","41085","41140","38100","40633","42027","42027","38100","44843","44843","44843","44843","40336","44843","44843","44505","38100","42027","35215","46246","48387","35730","44843","33170","34159","38500","40659","38846","44843","59223","59223","41085","41085","33562","41140","41085","44843","41140","38988","36497","44843","42027","31000","41140","38846","40201","59223","42027","42027","41140","38100","33024","48387","41140","35215","41085","41140","41085","41140","40201","40201","41085","33170","41930","41085","44843","38846","44843","38846","37734","41140","31011","41062","41085","41140","41085","32207","41085","39130","44505","44870","36360","42027","41140","38846","59223","35150","31339","44505","44843","41085","41085","38503","46246","44843","41062","44843","39734","41062","32097","41085","59223","41085","37885","37734","41140","36750","41656","41085","41140","42027","37462","44843","36497","38327","38846","38327","41085","43680","42027","35730","44843","32007","41656","44505","31696","41783","59223","41140","44843","44843","31011","36592","48387","44843","44843","39130",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","36881","5740691","5740691","38100","38846","32839","5740691","40201","59223","40659","38104","59223","5740691","5740691","5740691","39091","33562","37065","41062","39751","41085","35730","32725","41085","42152","31016","40639","36850","33830","41085","41085","33170","40143","42215","35398","38846","41437","38500","41085","36003","41085","40639","33170","35215","40118","38503","40659","33756","40659","39751","59223","318953","31656","32275","5740691","38503","35927","41085","41085","41085","41085","36881","41085","41085","318064","40065","5740691","59223","41062","40659","31011","41085","36592","36881","318064","36881","59223","35215","38613","40659","41431","36881","39031","41085","40336","41085","44843","33170","318064","35215","43828","48571","44843","39091","41656","41431","32467","326118","44843","36061","41117","37946","41085","43828","59223","41085","35730","44843","42027","42027","59223","41656","43788","39130","41085","59223","41085","35215","31618","44843","31521","36497","35215","44843","38846","41783","33562","38846","38500","35730","33170","40633","38846","33562","37358","37800","43565","34652","41085","44870","38846","36587","41085","33562","34096","59223","31339","30973","31000","31696","37475","59223","41347","41495","44843","32425","31339","38846","41085","40639","47251","41085","318064","44543","59223","318064","48387","41140","43828","41062","41085","43191","37039","33347","35215","36061","42215","44843","33562","31696","38500","32467","32097","39130","41085","38846",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","37734","31011","31011","35927","59223","37462","31011","31000","48387","42027","31344","39091","31011","31011","31011","40336","41437","41986","36497","43259","31696","32097","33347","31696","43783","33931","31000","41503","33117","39091","31696","31011","31521","40659","41587","59223","31339","32207","42624","43775","31696","31000","36680","40659","34982","36850","35838","43981","42027","43259","40659","37734","34112","32467","31011","43788","40065","31696","31696","31696","31696","38327","38846","35215","41503","40444","31011","41062","40336","37800","35652","38846","318064","38327","35927","40889","41431","37946","44505","35838","32097","37659","40143","35215","36497","42027","31696","44505","36689","41062","44505","41930","41085","41431","40998","41062","40943","38503","41085","34982","32183","40201","33170","31000","41431","31339","40996","44870","41656","41656","39091","31339","34652","317815","38846","34371","35215","37358","36850","41085","36130","30973","37358","41085","59223","36061","32097","38613","47764","41431","31339","36587","59223","40996","32097","36680","31957","42930","31696","59223","33562","33743","38846","32097","40998","41431","36459","37310","37462","35730","40336","35730","33390","42615","41085","43235","34096","33562","32097","44505","35652","31696","32036","37447","35730","35652","33170","44843","31339","44505","40996","34192","38465","31623","42027","32627","32097","35215","41062","36592","326192","37447","40201","38846","44870","43981",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","33640","32839","32839","40065","39091","246650","32839","33640","41656","35398","35977","32097","32839","32839","32839","326118","37946","33954","43828","31661","38846","40201","41456","42215","34751","261329","40998","8674066","38596","41062","38846","36680","36130","43981","38100","43828","32725","318600","32937","44653","38846","318600","38465","35398","33692","43788","47764","33170","35398","37901","42027","43565","43604","32183","32839","36689","41472","38846","38846","38846","38846","318064","35215","53511","32275","41472","32839","40336","39734","41656","35927","59223","40633","5740599","36791","38503","40336","31000","43565","36881","37800","48571","40943","59223","43828","37659","35730","35398","32467","40659","38503","32207","59223","36497","35652","43981","32725","41824","35838","59215","42742","40659","42624","38232","53511","42624","38327","40201","31339","31339","32097","36881","41117","37800","59223","318064","37946","39091","40143","35215","53515","37800","43981","31696","35730","40124","41062","44505","37039","32097","38974","32425","41062","36497","40659","38500","40575","4379834","40201","318953","59223","117496","59223","31011","34933","31000","318064","318064","38100","40996","38691","48387","3772305","39824","31696","31651","36592","59223","42027","36680","35927","38846","40386","42360","37358","8674066","31011","38846","32839","36881","36459","43716","32207","42449","44505","33743","53511","59223","35150","41930","32207","43259","40659","35730","38846","31011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","32207","36592","36592","33419","31339","40633","36592","36299","35398","38500","318206","40201","36592","36592","36592","41656","30973","38141","30973","43783","38500","36497","33419","40996","38372","31798","40143","40143","42449","40201","33562","31339","53515","41728","35519","33170","33347","32858","39461","40348","38500","40998","37734","31339","33610","36689","31000","31011","38500","43783","35398","36587","35742","43775","37039","43274","41899","44505","44505","38500","38500","32467","59223","42027","32858","41899","36592","39734","326118","36368","31344","35730","32467","32425","37005","43788","36497","36232","246650","36459","35398","36232","38788","53511","38613","36232","33170","36368","35696","42027","32207","33019","32097","38613","38104","38613","40575","41930","38613","36555","31623","246650","40998","40998","33170","32937","36459","36497","47764","34380","41062","318064","42615","44505","39091","35652","31000","318953","35696","33562","40575","36680","36497","38846","32097","44058","40201","36680","38974","41062","36592","40143","40336","38613","31339","37447","43191","44100","35838","39734","35730","37040","41431","41656","36031","32007","38503","32734","32207","32097","41656","41431","35375","8674049","38846","37065","34371","35730","5740691","36881","38890","35730","34982","40065","32097","36689","38613","42215","43565","31000","41930","43235","40998","34211","31339","33941","43981","35730","36497","40633","318600","38924","246650","39091","35215","48571",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","32734","5740599","5740599","41472","36881","44543","5740599","33082","32839","31000","35950","40659","5740599","5740599","5740599","35398","40639","40553","41656","32264","34380","31879","36804","318953","33224","42316","43274","41883","36804","31011","317815","37734","40575","33896","34445","36881","41456","50392","33692","39748","34380","40143","32207","35519","42492","43274","37659","41656","31000","32264","38500","38104","39903","36803","36592","8674049","32158","38500","38500","34380","34380","32425","41437","33170","32467","32158","5740599","326118","41656","318064","36362","32097","41568","39751","44154","44543","31011","35519","32734","32858","31000","40998","34982","42027","43132","32007","37734","31618","42025","43828","43565","318916","40201","41656","40943","37800","44307","318600","41656","44097","41456","43788","32937","8674066","41656","34211","34445","30973","34380","35519","40201","31160","34872","35398","41062","35927","36232","42027","31521","59223","42742","41824","33170","33562","31513","35672","36497","36881","41783","40201","37462","31016","33170","38327","32839","31344","31016","36914","38613","33170","40996","43839","32097","38327","40943","43788","5740599","32467","40633","41062","35398","40336","32195","43982","33562","32780","32007","31096","35398","48571","40065","41431","31424","42152","318953","38788","47764","39091","50251","31618","43565","49228","38327","39831","48571","44437","36497","32097","33170","35927","35927","31623","43788","31513","59223","38100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","32036","31160","31160","41899","31000","40143","31160","47141","36368","40633","34141","39734","31160","31160","31160","36881","44505","38694","36368","43130","38503","35704","37040","41062","30986","38746","32006","35971","48552","318064","35730","246650","42742","40386","41783","34371","33419","31521","34211","43095","38503","43274","43788","43788","8674049","32228","41728","38327","40633","43130","31000","39751","40637","31316","5740599","40669","43982","34380","34380","38503","38327","39751","35730","326118","40943","43982","31160","41656","38327","35519","33347","41062","8674049","42025","34112","33814","38613","34445","36587","36587","36592","32275","43716","41656","38327","31320","43788","5740599","33347","33170","43788","44543","43981","35398","38788","41656","40838","32734","37659","38746","43235","32734","34211","40143","31339","40669","40633","5740691","34445","34445","53511","43122","40065","34380","40201","36750","31160","30973","39004","35730","40065","43565","38691","35730","38988","4379834","35838","36592","40633","33170","32207","33692","37800","36592","36881","53515","34982","3772719","326118","31339","41062","41426","41062","37462","41883","35927","36299","31344","33814","35150","31339","37800","41987","37215","59223","43736","32207","38988","36232","36232","8674049","32097","42742","37233","40201","33117","36592","36497","42025","41930","43788","37548","32898","43982","3346201","40481","38613","35838","31011","36750","45588","42930","32734","36497","42215","44543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","3355010","43788","32036","32158","41930","41883","32036","34652","31000","8674066","38315","42027","43788","32036","32036","34445","37310","45525","31000","31402","38100","32275","38007","40201","2768981","33390","36803","31957","31402","5740599","39091","35927","40065","33983","40998","33640","36804","36065","40669","39493","38100","32006","32036","32425","42315","40669","32007","48571","8674066","40838","41783","36362","35076","47137","31160","31656","34946","31000","38327","38100","31618","33082","41431","41656","35696","34946","43788","36368","36592","34445","31651","33170","31623","33082","34065","31320","41656","31160","40943","37743","31618","3355010","40444","31339","36232","33024","36031","41824","36791","5740691","40633","31344","41656","31339","34982","35398","35648","35927","38327","41995","31773","32275","38007","43274","37039","43982","8674066","37800","43565","43565","40659","33024","8674049","34096","40659","43122","43788","5740691","44653","31096","41938","35652","38613","39091","36497","41884","30973","36232","33896","36881","36299","40342","36680","36232","36232","36791","42930","40989","41656","36459","34159","31253","40201","32734","36362","33814","318600","31521","32858","42027","38100","35398","32529","43312","317815","40828","41783","37800","41783","43788","261329","41062","31553","32482","33756","34982","36232","43828","249663","32207","36061","37885","35971","44653","40143","41995","31339","33170","38327","35098","36061","46085","44543","38691","41431","32858",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","42025","32036","249663","43982","33640","251324","32275","33830","37734","33814","39903","326118","32036","249663","249663","39751","36592","36395","41824","37121","43565","40943","43319","42027","3772232","32009","43235","36791","37679","40633","41431","38327","41938","38788","43788","318600","37040","34872","33757","37038","43565","36803","32725","246507","31248","31656","318600","37734","33814","38073","40633","34192","43243","36770","32036","33757","40205","38327","38503","43565","38503","36061","40201","35398","42025","34112","32036","38327","34445","40998","39831","31339","43982","36362","41426","42025","38500","43788","36362","41513","41930","32467","38924","31000","35652","53515","35696","246650","40065","31339","35927","45588","31339","31000","31623","31339","34772","32425","38974","32601","36775","44543","44097","32703","31000","38007","33814","31879","39031","40386","39734","41117","33743","31618","39734","41883","43274","35398","36555","32097","37005","246650","40639","41431","38613","34027","41656","38503","33983","31000","40998","40444","31339","37462","32207","40065","38747","35652","35398","38503","36497","39212","43981","3346201","37901","36750","40998","36019","40943","36497","32734","36881","43312","38694","41437","36054","35652","36881","40998","36587","34311","40201","8674049","32532","36497","36791","37734","30973","35971","36299","33024","50130","34652","3772080","41883","318271","36592","44505","35519","40065","32543","37065","33814","38613","41062","41883",NA,NA,NA,NA,NA,NA,NA,NA,NA
