mirna_name,OE_pigment_PT,OE_pigment_PT_fa6
dme-miR-964,B,D
dme-miR-276a,B,D
dme-miR-12,B,L
dme-miR-263b,B,L
dme-miR-312,B,L
dme-miR-87,B,D
dme-miR-1010,D,D
dme-miR-306*,D,N
dme-miR-306,D,N
dme-miR-963,D,D
dme-miR-971,D,N
dme-miR-375,D,D
dme-miR-1002,D,D
dme-miR-978,D,D
dme-miR-iab-4-3p,D,D
dme-miR-iab-4-5p,D,D
dme-miR-980,D,D
dme-miR-1006,D,D
dme-miR-279,D,D
dme-miR-8,D,D
dme-miR-1000,D,D
dme-miR-193,D,D
dme-miR-281,D,D
dme-miR-281-1*,D,D
dme-miR-34,D,N
dme-miR-958,D,N
dme-miR-965,D,N
dme-miR-985,D,D
dme-miR-2493*,F,U
dme-miR-2493,F,U
dme-miR-284,F,U
dme-miR-315,F,U
dme-miR-4,F,U
dme-miR-4951,F,U
dme-miR-932,F,U
dme-miR-954,F,U
dme-miR-967,F,U
dme-miR-969,F,U
dme-bantam,X,U
dme-let-7,X,U
dme-miR-1,X,U
dme-miR-124,X,U
dme-miR-184*,X,U
dme-miR-184,X,U
dme-miR-252,X,U
dme-miR-263a,X,U
dme-miR-278,X,U
dme-miR-7,X,U
dme-miR-927,X,U
dme-miR-977,X,U
dme-miR-981,X,U
dme-miR-9c,X,U
dme-miR-219,L,N
dme-miR-33,L,L
dme-miR-999,L,L
dme-miR-307,L,N
dme-miR-995*,L,L
dme-miR-995,L,L
dme-miR-11,L,L
dme-miR-133,L,N
dme-miR-137,L,L
dme-miR-13a,L,L
dme-miR-190,L,L
dme-miR-2490,L,L
dme-miR-275,L,L
dme-miR-2b,L,L
dme-miR-308,L,L
dme-miR-6,L,L
dme-miR-92b,L,L
dme-miR-960,L,L
dme-miR-983,L,L
dme-miR-992,L,L
dme-miR-10-5p,N,N
dme-miR-10-3p,N,N
dme-miR-100,N,N
dme-miR-1001,N,N
dme-miR-1003,N,N
dme-miR-1004,N,N
dme-miR-1005,N,N
dme-miR-1007,N,N
dme-miR-1008,N,N
dme-miR-1009,N,N
dme-miR-1011,N,N
dme-miR-1012,N,N
dme-miR-1013,N,N
dme-miR-1014,N,N
dme-miR-1015,N,N
dme-miR-1016,N,N
dme-miR-1017,N,N
dme-miR-125,N,N
dme-miR-13b,N,N
dme-miR-14,N,N
dme-miR-2279*,N,N
dme-miR-2279,N,N
dme-miR-2280,N,N
dme-miR-2281*,N,N
dme-miR-2281,N,N
dme-miR-2282,N,N
dme-miR-2283,N,N
dme-miR-2489,N,N
dme-miR-2491,N,N
dme-miR-2492,N,N
dme-miR-2494*,N,N
dme-miR-2494,N,N
dme-miR-2495*,N,N
dme-miR-2495,N,N
dme-miR-2496*,N,N
dme-miR-2496,N,N
dme-miR-2497*,N,N
dme-miR-2497,N,N
dme-miR-2498*,N,N
dme-miR-2498,N,N
dme-miR-2499*,N,N
dme-miR-2499,N,N
dme-miR-2500*,N,N
dme-miR-2500,N,N
dme-miR-2501*,N,N
dme-miR-2501,N,N
dme-miR-274,N,N
dme-miR-276*,N,N
dme-miR-276b,N,N
dme-miR-277,N,N
dme-miR-280,N,N
dme-miR-282,N,N
dme-miR-285,N,N
dme-miR-286,N,N
dme-miR-287,N,N
dme-miR-288,N,N
dme-miR-289,N,N
dme-miR-2a,N,N
dme-miR-2c,N,N
dme-miR-3,N,N
dme-miR-303,N,N
dme-miR-304,N,N
dme-miR-307-as,N,N
dme-miR-307-as*,N,N
dme-miR-309,N,N
dme-miR-310,N,N
dme-miR-311,N,N
dme-miR-313,N,N
dme-miR-314,N,N
dme-miR-316,N,N
dme-miR-317,N,N
dme-miR-318,N,N
dme-miR-31a,N,N
dme-miR-3642,N,N
dme-miR-3643,N,N
dme-miR-3644,N,N
dme-miR-3645,N,N
dme-miR-4966,N,N
dme-miR-4968,N,N
dme-miR-4969,N,N
dme-miR-4976,N,N
dme-miR-5,N,N
dme-miR-79,N,N
dme-miR-929,N,N
dme-miR-955,N,N
dme-miR-956,N,N
dme-miR-957,N,N
dme-miR-959,N,N
dme-miR-961,N,N
dme-miR-962,N,N
dme-miR-966,N,N
dme-miR-970,N,N
dme-miR-972,N,N
dme-miR-973,N,N
dme-miR-974,N,N
dme-miR-975,N,N
dme-miR-976,N,N
dme-miR-979,N,N
dme-miR-982,N,N
dme-miR-984,N,N
dme-miR-986,N,N
dme-miR-987,N,N
dme-miR-988,N,N
dme-miR-989,N,N
dme-miR-990,N,N
dme-miR-991,N,N
dme-miR-993,N,N
dme-miR-994,N,N
dme-miR-996,N,N
dme-miR-997,N,N
dme-miR-998,N,N
dme-miR-9a,N,N
dme-miR-iab-4as-3p,N,N
dme-miR-iab-4as-5p,N,N
