"","gene_id","fbgn"
"1",3771857,"FBgn0053651"
"2",31514,"FBgn0029815"
"3",318117,"FBgn0052613"
"4",318966,"FBgn0051828"
"5",5740557,"FBgn0263980"
"6",317931,"FBgn0052233"
"7",317831,"FBgn0052033"
"8",50003,"FBgn0266801"
"9",318678,"FBgn0051315"
"10",5740629,"FBgn0264339"
"11",318768,"FBgn0264339"
"12",50146,"FBgn0040673"
"13",260656,"FBgn0028873"
"14",318802,"FBgn0051563"
"15",39533,"FBgn0264006"
"16",318984,"FBgn0051856"
"17",49228,"FBgn0002781"
"18",319008,"FBgn0051894"
"19",3885618,"FBgn0054016"
"20",42038,"FBgn0015350"
"21",318923,"FBgn0051736"
"22",42504,"FBgn0283468"
"23",34892,"FBgn0283467"
"24",36486,"FBgn0283462"
"26",38419,"FBgn0283461"
"27",44505,"FBgn0283451"
"31",35656,"FBgn0283450"
"32",34884,"FBgn0283442"
"33",41603,"FBgn0283438"
"35",37044,"FBgn0283437"
"36",33524,"FBgn0283427"
"37",117294,"FBgn0278608"
"39",41180,"FBgn0278604"
"40",36547,"FBgn0275436"
"41",42795,"FBgn0270928"
"42",43746,"FBgn0270927"
"43",2768965,"FBgn0270926"
"44",42387,"FBgn0270925"
"46",34292,"FBgn0270924"
"47",38845,"FBgn0268063"
"48",35509,"FBgn0267978"
"49",3355096,"FBgn0267976"
"50",42306,"FBgn0267975"
"51",33369,"FBgn0267972"
"52",32739,"FBgn0267967"
"53",8674098,"FBgn0267912"
"54",45320,"FBgn0267911"
"56",3354925,"FBgn0267861"
"57",36173,"FBgn0267849"
"58",44227,"FBgn0267828"
"59",44831,"FBgn0267824"
"60",37638,"FBgn0267823"
"61",34413,"FBgn0267821"
"62",39561,"FBgn0267795"
"63",35843,"FBgn0267792"
"64",43862,"FBgn0267791"
"66",41138,"FBgn0267790"
"67",36284,"FBgn0267728"
"68",34338,"FBgn0267727"
"69",44039,"FBgn0267698"
"71",34057,"FBgn0267689"
