"","gene_id","gene_symbol","number_of_mirs_targeting","TF","gene_fxn_pigm","kd_pt_fA6"
"","59223","CG18769",45,NA,NA,NA
"","33044","CG11710",7,NA,NA,NA
"","36881","CG5522",34,NA,NA,NA
"","37734","apt",21,NA,NA,NA
"","33640","CG3338",11,NA,NA,NA
"","32207","LIMK1",30,NA,NA,NA
"","32734","CG12991",28,NA,NA,NA
"","32036","CG1545",15,NA,NA,NA
"","3355010","CG17665",4,NA,NA,NA
"","42025","Fas1",54,NA,NA,NA
"","31344","CG42541",24,NA,NA,NA
"","50073","CG13631",5,NA,NA,NA
"","40527","aux",23,NA,NA,NA
"","38890","nmo",17,NA,NA,NA
"","39257","CG6216",25,NA,NA,NA
"","36791","Lis-1",24,NA,NA,NA
"","40342","CG10508",12,NA,NA,NA
"","33610","Cep97",9,NA,NA,NA
"","36913","CG8963",20,NA,NA,NA
"","33743","CG4230",17,NA,NA,NA
"","43291","mrt",26,NA,NA,NA
"","44433","Hs2st",15,NA,NA,NA
"","42449","Nep4",38,NA,NA,NA
"","39099","CG32043",54,NA,NA,NA
"","43235","T48",36,NA,NA,NA
"","36770","CG8401",3,NA,NA,NA
"","49892","CG17510",19,NA,NA,NA
"","42327","Dys",32,NA,NA,NA
"","38514","CG14997",10,NA,NA,NA
"","33563","sec5",2,NA,NA,NA
"","44307","Vha16",42,NA,NA,NA
"","36555","mam",41,NA,NA,NA
"","36542","shot",42,NA,NA,NA
"","37254","sm",19,NA,NA,NA
"","34318","CG13125",12,NA,NA,NA
"","35910","CG8193",4,NA,NA,NA
"","44861","sdt",28,NA,NA,NA
"","41644","CG9813",20,NA,NA,NA
"","40205","CG42348",42,NA,NA,NA
"","39917","rogdi",40,NA,NA,NA
"","326251","CG33096",19,NA,NA,NA
"","36764","CG8389",3,NA,NA,NA
"","3772305","CG10731",50,NA,NA,NA
"","318175","CG32726",20,NA,NA,NA
"","32729","CG8557",28,NA,NA,NA
"","40553","Cont",14,NA,NA,NA
"","40792","CG1021",18,NA,NA,NA
"","44100","Patj",20,NA,NA,NA
"","38429","CG14971",31,NA,NA,NA
"","40614","CG14662",11,NA,NA,NA
"","40079","CG3797",18,NA,NA,NA
"","3355167","CG41106",17,NA,NA,NA
"","326153","tho2",13,NA,NA,NA
"","40517","alpha-Cat",8,NA,NA,NA
"","33458","Hrs",12,NA,NA,NA
"","38808","CG8602",23,NA,NA,NA
"","41588","CG14384",3,NA,NA,NA
"","38809","mus312",57,NA,NA,NA
"","38629","Msr-110",32,NA,NA,NA
"","39958","Nedd4",35,NA,NA,NA
"","41907","CG9590",9,NA,NA,NA
"","49701","gish",46,NA,NA,NA
